price,sqft,bedrooms,bathrooms,location,year_built,condition
730000,2620,3,2.5,Downtown,1994,Excellent
312000,1680,2,1.5,Rural,1959,Fair
520000,2050,3,2.0,Urban,1990,Good
615000,2230,3,2.0,Downtown,1986,Good
398000,1680,2,2.0,Suburb,1968,Fair
537000,2050,3,2.0,Urban,1990,Good
1250000,3250,4,3.5,Waterfront,2010,Excellent
527000,2010,3,2.0,Urban,1993,Good
1220000,3220,4,3.5,Waterfront,2008,Excellent
401000,1742,2,1.5,Suburb,1963,Good
415000,1720,2,2.0,Suburb,1970,Good
587000,2180,3,2.0,Downtown,1984,Good
502000,1950,3,2.0,Urban,1982,Good
475000,1920,3,2.0,Urban,1978,Good
1190000,3170,4,3.5,Waterfront,2006,Excellent
729000,2640,3,2.5,Downtown,1995,Excellent
485000,1940,3,2.0,Urban,1979,Good
276000,1422,2,1.0,Rural,1952,Fair
272000,1480,2,1.0,Rural,1952,Poor
710000,2580,3,2.5,Downtown,1993,Excellent
512000,2030,3,2.0,Urban,1988,Good
545000,2120,3,2.5,Urban,1997,Good
440000,1830,3,2.0,Suburb,1975,Good
1420000,3520,5,4.0,Waterfront,2017,Excellent
1140000,3050,4,3.5,Waterfront,2003,Excellent
335000,1750,2,1.5,Rural,1968,Fair
1210000,3102,4,3.0,Waterfront,2005,Excellent
251000,1380,2,1.0,Rural,1948,Poor
1580000,3680,5,4.0,Waterfront,2018,Excellent
1680000,3850,5,4.5,Waterfront,2012,Excellent
675000,2450,3,2.5,Downtown,1991,Good
891000,2950,3,2.5,Downtown,2001,Excellent
695000,2550,3,2.5,Downtown,1992,Excellent
438000,1820,3,2.0,Suburb,1974,Good
595000,2230,3,2.0,Downtown,1986,Good
380000,1650,2,1.5,Suburb,1965,Fair
748000,2680,3,2.5,Downtown,1997,Excellent
328000,1730,2,1.5,Rural,1965,Fair
425000,1720,2,2.0,Suburb,1970,Good
261000,1450,2,1.0,Rural,1950,Poor
582000,2200,3,2.0,Downtown,1985,Good
682000,2420,3,2.5,Downtown,1990,Good
1280000,3280,4,3.5,Waterfront,2012,Excellent
492000,1980,3,2.0,Urban,1980,Good
1170000,3150,4,3.5,Waterfront,2005,Excellent
372000,1640,2,1.5,Suburb,1963,Fair
264000,1440,2,1.0,Rural,1951,Poor
258000,1420,2,1.0,Rural,1950,Poor
325000,1720,2,1.5,Rural,1962,Fair
530000,2080,3,2.0,Urban,1991,Good
529000,2100,3,2.5,Urban,1992,Good
1340000,3420,4,4.0,Waterfront,2014,Excellent
320000,1700,2,1.5,Rural,1961,Fair
279000,1480,2,1.0,Rural,1953,Fair
535000,2080,3,2.5,Urban,1995,Good
752000,2526,3,2.5,Downtown,1998,Excellent
302000,1680,2,1.5,Rural,1960,Fair
552000,2150,3,2.0,Downtown,1982,Good
319000,1622,2,1.5,Rural,1975,Fair
1380000,3480,4,4.0,Waterfront,2015,Excellent
1520000,3620,5,4.0,Waterfront,2019,Excellent
510000,1980,3,2.0,Urban,1984,Good
375000,1620,2,1.5,Suburb,1962,Fair
368000,1620,2,1.5,Suburb,1962,Fair
575000,2150,3,2.0,Downtown,1983,Good
482000,1925,3,2.0,Urban,1979,Good
620000,2280,3,2.0,Downtown,1988,Good
