price,sqft,bedrooms,bathrooms,location,year_built,condition,house_age
495000.0,1527,2,1.5,Suburb,1956,Good,70
752000.0,2526,3,2.5,Downtown,1998,Excellent,28
319000.0,1622,2,1.5,Rural,1975,Fair,51
1210000.0,3102,4,3.0,Waterfront,2005,Excellent,21
462000.0,1835,2,2.0,Urban,1982,Good,44
401000.0,1742,2,1.5,Suburb,1963,Good,63
891000.0,2950,3,2.5,Downtown,2001,Excellent,25
276000.0,1422,2,1.0,Rural,1952,Fair,74
1261750.0,3850,5,4.5,Waterfront,2012,Excellent,14
527000.0,2010,3,2.0,Urban,1993,Good,33
338000.0,1525,2,1.5,Suburb,1965,Fair,61
615000.0,2230,3,2.0,Downtown,1986,Good,40
298000.0,1650,2,1.5,Rural,1958,Fair,68
1140000.0,3050,4,3.5,Waterfront,2003,Excellent,23
482000.0,1925,3,2.0,Urban,1979,Good,47
425000.0,1720,2,2.0,Suburb,1970,Good,56
729000.0,2640,3,2.5,Downtown,1995,Excellent,31
251000.0,1380,2,1.0,Rural,1948,Poor,78
890000.0,2890,4,3.0,Mountain,2008,Excellent,18
512000.0,2030,3,2.0,Urban,1988,Good,38
375000.0,1620,2,1.5,Suburb,1962,Fair,64
552000.0,2150,3,2.0,Downtown,1982,Good,44
348000.0,1750,2,1.5,Rural,1972,Fair,54
1261750.0,3480,4,4.0,Waterfront,2015,Excellent,11
492000.0,1980,3,2.0,Urban,1980,Good,46
440000.0,1830,3,2.0,Suburb,1975,Good,51
682000.0,2420,3,2.5,Downtown,1990,Good,36
261000.0,1450,2,1.0,Rural,1950,Poor,76
1250000.0,3250,4,3.5,Waterfront,2010,Excellent,16
535000.0,2080,3,2.5,Urban,1995,Good,31
398000.0,1680,2,2.0,Suburb,1968,Fair,58
587000.0,2180,3,2.0,Downtown,1984,Good,42
325000.0,1720,2,1.5,Rural,1962,Fair,64
1090000.0,3000,4,3.0,Waterfront,2000,Good,26
502000.0,1950,3,2.0,Urban,1982,Good,44
420000.0,1750,2,2.0,Suburb,1972,Good,54
695000.0,2550,3,2.5,Downtown,1992,Excellent,34
279000.0,1480,2,1.0,Rural,1953,Fair,73
1261750.0,3680,5,4.0,Waterfront,2018,Excellent,8
537000.0,2050,3,2.0,Urban,1990,Good,36
357000.0,1580,2,1.5,Suburb,1960,Fair,66
582000.0,2200,3,2.0,Downtown,1985,Good,41
312000.0,1680,2,1.5,Rural,1959,Fair,67
1170000.0,3150,4,3.5,Waterfront,2005,Excellent,21
475000.0,1920,3,2.0,Urban,1978,Good,48
415000.0,1720,2,2.0,Suburb,1970,Good,56
748000.0,2680,3,2.5,Downtown,1997,Excellent,29
249000.0,1350,2,1.0,Rural,1947,Poor,79
1261750.0,3280,4,3.5,Waterfront,2012,Excellent,14
520000.0,2050,3,2.0,Urban,1990,Good,36
380000.0,1650,2,1.5,Suburb,1965,Fair,61
620000.0,2280,3,2.0,Downtown,1988,Good,38
302000.0,1680,2,1.5,Rural,1960,Fair,66
1261750.0,3520,5,4.0,Waterfront,2017,Excellent,9
495000.0,1950,3,2.0,Urban,1981,Good,45
430000.0,1780,2,2.0,Suburb,1972,Good,54
710000.0,2580,3,2.5,Downtown,1993,Excellent,33
258000.0,1420,2,1.0,Rural,1950,Poor,76
982000.0,2980,4,3.0,Mountain,2010,Excellent,16
529000.0,2100,3,2.5,Urban,1992,Good,34
368000.0,1620,2,1.5,Suburb,1962,Fair,64
595000.0,2230,3,2.0,Downtown,1986,Good,40
335000.0,1750,2,1.5,Rural,1968,Fair,58
1261750.0,3420,4,4.0,Waterfront,2014,Excellent,12
485000.0,1940,3,2.0,Urban,1979,Good,47
428000.0,1760,2,2.0,Suburb,1971,Good,55
675000.0,2450,3,2.5,Downtown,1991,Good,35
272000.0,1480,2,1.0,Rural,1952,Poor,74
1220000.0,3220,4,3.5,Waterfront,2008,Excellent,18
545000.0,2120,3,2.5,Urban,1997,Good,29
392000.0,1650,2,2.0,Suburb,1966,Fair,60
575000.0,2150,3,2.0,Downtown,1983,Good,43
320000.0,1700,2,1.5,Rural,1961,Fair,65
1120000.0,3050,4,3.0,Waterfront,2002,Good,24
510000.0,1980,3,2.0,Urban,1984,Good,42
438000.0,1820,3,2.0,Suburb,1974,Good,52
730000.0,2620,3,2.5,Downtown,1994,Excellent,32
264000.0,1440,2,1.0,Rural,1951,Poor,75
1261750.0,3620,5,4.0,Waterfront,2019,Excellent,7
530000.0,2080,3,2.0,Urban,1991,Good,35
372000.0,1640,2,1.5,Suburb,1963,Fair,63
592000.0,2220,3,2.0,Downtown,1985,Good,41
328000.0,1730,2,1.5,Rural,1965,Fair,61
1190000.0,3170,4,3.5,Waterfront,2006,Excellent,20
